Filename,Subject,Vowel,F0,F1_50,F2_50,F3_50,F4,Duration
subj51_f_coro_56,subj51,o,246.48219523260667,526.1274876348739,980.5724271331916,2929.433749971701,3927.9845460433576,0.15459271780781592
subj51_f_cosa_139,subj51,o,225.27298487998945,501.0744525571261,1010.7900079201062,3110.6376457180577,3854.808632163184,0.10939165158967512
subj51_f_cosa_314,subj51,o,225.3512194356551,490.72423839689975,1002.743174778751,3000.916452607338,3836.222615293079,0.12272766588347396
subj51_f_cuco_101,subj51,u,247.70265582265975,477.04897599873783,763.5367227115308,2863.769476478501,4175.511580359594,0.07827338401281736
subj51_f_cuco_279,subj51,u,238.69273506675344,422.0163395182181,899.8705746159286,3091.3576656836985,4064.597607298133,0.07390580398708835
subj51_f_cura_108,subj51,u,244.72884287948455,423.87794966136175,703.3338016350241,2925.655347691777,3902.357934974216,0.16170903974844464
subj51_f_paso_180,subj51,a,227.0677009380211,857.5001923096453,1636.999759579877,2837.8489626355904,4250.324430948517,0.145274726760789
subj51_f_pata_239,subj51,a,215.29705136538175,876.7114561421805,1570.404894334878,2953.534131601409,4101.100203424815,0.09257492723099858
subj51_f_pate_142,subj51,a,215.4334627441524,846.9742717338514,1687.365111027099,2816.3122190870936,4072.8815839542062,0.11435662607414088
subj51_f_pato_200,subj51,a,222.8597646235109,830.9217005844339,1629.0988733819,2901.195529460726,4037.3255347545055,0.09217675727134632
subj51_f_peca_186,subj51,e,225.40672325611777,616.4121704123407,2279.4373142016116,3012.513227040302,4131.553122514425,0.09730336614268252
subj51_f_peca_308,subj51,e,220.149616885686,559.6892328968676,2479.6354264117153,3058.328944291119,4195.037153089202,0.05896772840685571
subj51_f_pica_161,subj51,i,234.172565117708,328.27843914235126,2709.787940857822,3121.5387975776503,4340.64087661372,0.08114959285626355
subj51_f_pica_282,subj51,i,230.44176421230597,317.25830192606026,2798.3502675589066,3245.4322095359216,4300.569652402798,0.0513588711045827
subj51_f_pico_203,subj51,i,235.44861530924248,319.18601319723126,2812.9815264551885,3324.141295538715,4218.632111098532,0.07244092047258732
subj51_f_pico_83,subj51,i,250.7458925502706,394.5603950405834,2692.14534763717,3252.20398028512,4333.6665696238615,0.09301755311425096
subj51_f_pisa_135,subj51,i,232.44672813841805,329.9196535595638,2786.3440476711576,3254.4092932809835,4104.274851937551,0.10508380519044636
subj51_f_pisa_226,subj51,i,226.03642610855815,361.8672712179413,2645.0911980413966,3138.13098874989,4122.67776163246,0.10333096142005616
subj51_f_piso_90,subj51,i,231.045518164092,300.9170717023592,2785.9064386303935,3632.229237246542,4261.073062132584,0.11597837990620974
subj51_f_pite_167,subj51,i,231.4600085399508,285.11959441783034,2789.99142444486,3056.385803131381,4228.07122701104,0.09255515198333342
subj51_f_pura_104,subj51,u,243.31955887857575,443.5280403703485,845.6743057767568,2864.937907735466,3907.415643458608,0.10099515438318464
subj51_f_pura_209,subj51,u,226.08002610065017,419.7657650000891,875.1972943592136,3144.0350986925855,4137.596870758552,0.12388194518254636
subj51_f_pura_270,subj51,u,228.91778614410904,432.9469269000617,911.388647811293,2915.739896486434,3730.383407800975,0.11598658475327284
subj51_f_puso_125,subj51,u,235.307788808865,392.1986344695741,887.4733811626363,2988.3809468083155,4006.603699086502,0.09463453303990832
subj51_f_puso_189,subj51,u,233.44552298533557,406.0451544771462,903.4845736958472,3062.612698887496,3949.816301136431,0.1085326683124208
subj51_f_quita_305,subj51,i,241.0217783964085,368.7714395150523,2861.7058612785167,3241.781259378908,4293.260891963479,0.04882252810898535
subj51_f_quita_94,subj51,i,238.3059962007653,423.9822725754421,2854.2268309964015,3369.507651099847,4295.2615727951315,0.06713074363226212
subj51_f_quite_235,subj51,i,226.47626434420377,271.634328495679,2811.2847130977643,3190.7034892433235,4088.334491078335,0.10437632203766611
subj51_f_quite_276,subj51,i,229.50143489440376,329.96449598329826,2937.904181712802,3356.4233503102923,4264.402087774557,0.05572879679573361
subj51_f_quito_260,subj51,i,119.84684477186298,326.0112841584518,2777.3416386556614,3074.046203669909,4069.404518837417,0.05959933909343817
subj51_f_saca_301,subj51,a,219.73635511496715,865.4338252259209,1605.4762366363495,2458.2618541137344,4386.285912374084,0.1042012144117166
subj51_f_saca_70,subj51,a,232.3388062769703,905.634512275939,1586.152970681329,2761.2625232125565,4221.3963387555195,0.111968581798763
subj51_f_saco_148,subj51,a,221.8084939894694,913.1340317995496,1611.586750730376,2682.5988196417406,3985.781538717185,0.11851911885611344
subj51_f_saco_229,subj51,a,218.9629351682084,855.2577297791933,1400.3467424173923,2943.238537856181,3890.630716469575,0.1070928514001821
subj51_f_saque_121,subj51,a,243.1807378913726,869.3524949717568,1726.520164837002,2759.5929050256996,4185.153132682292,0.10062857454748551
subj51_f_saque_264,subj51,a,225.39511942156943,884.3945132478915,1627.7467658624614,2560.986845424231,3955.2037639874,0.118725911879892
